1/10                     1/10 -1.734046e-02
island                 island  1.454358e-03
question             question  1.469834e-03
hopefully           hopefully  1.473509e-03
monsters             monsters  1.499982e-03
girl                     girl  1.503468e-03
impressed           impressed  1.505746e-03
feeling               feeling  1.509561e-03
shallow               shallow  1.515485e-03
prefer                 prefer  1.516699e-03
speak                   speak  1.516958e-03
before                 before  1.518881e-03
kills                   kills  1.524053e-03
ideas                   ideas  1.532273e-03
met                       met  1.537598e-03
means                   means  1.538319e-03
doesn't               doesn't  1.542969e-03
truck                   truck  1.550958e-03
appeal                 appeal  1.551953e-03
recall                 recall  1.554005e-03
run                       run  1.565242e-03
needed                 needed  1.574753e-03
plan                     plan  1.575523e-03
plane                   plane  1.576368e-03
nude                     nude  1.587141e-03
girlfriend         girlfriend  1.587968e-03
impossible         impossible  1.596008e-03
point                   point  1.597915e-03
remind                 remind  1.601892e-03
machine               machine  1.601962e-03
goes                     goes  1.609766e-03
fall                     fall  1.613845e-03
worthwhile         worthwhile  1.617806e-03
stand                   stand  1.633114e-03
send                     send  1.634184e-03
alien                   alien  1.634795e-03
accident             accident  1.638543e-03
cases                   cases  1.638611e-03
count                   count  1.646506e-03
o                           o  1.646914e-03
day                       day  1.651315e-03
enjoying             enjoying  1.654589e-03
confused             confused  1.664977e-03
mix                       mix  1.671971e-03
not                       not  1.676837e-03
angels                 angels  1.681899e-03
dragon                 dragon  1.695592e-03
killed                 killed  1.697971e-03
loose                   loose  1.698499e-03
rolling               rolling  1.704209e-03
flight                 flight  1.712409e-03
storyline           storyline  1.716481e-03
suit                     suit  1.720783e-03
waiting               waiting  1.726509e-03
exists                 exists  1.726791e-03
jessica               jessica  1.727575e-03
lets                     lets  1.734727e-03
nasty                   nasty  1.738680e-03
we                         we  1.745822e-03
considering       considering  1.764391e-03
ghosts                 ghosts  1.779360e-03
running               running  1.781777e-03
loved                   loved  1.782705e-03
a                           a  1.783056e-03
wants                   wants  1.784681e-03
at                         at  1.789402e-03
dogs                     dogs  1.796324e-03
days                     days  1.798854e-03
happy                   happy  1.803365e-03
sheer                   sheer  1.805630e-03
looks                   looks  1.809996e-03
below                   below  1.817048e-03
theory                 theory  1.826341e-03
fair                     fair  1.828979e-03
remote                 remote  1.832650e-03
hanging               hanging  1.836753e-03
ill                       ill  1.841861e-03
shot                     shot  1.845350e-03
time                     time  1.847956e-03
concept               concept  1.853381e-03
reminded             reminded  1.856225e-03
over                     over  1.865688e-03
starts                 starts  1.874030e-03
open                     open  1.875089e-03
b                           b  1.886134e-03
compare               compare  1.891992e-03
independent       independent  1.893441e-03
close                   close  1.902058e-03
year                     year  1.903115e-03
gags                     gags  1.905910e-03
fool                     fool  1.915470e-03
creature             creature  1.923658e-03
cartoon               cartoon  1.925472e-03
station               station  1.927108e-03
grown                   grown  1.929417e-03
way                       way  1.931244e-03
alone                   alone  1.934732e-03
hasn't                 hasn't  1.935608e-03
research             research  1.939998e-03
until                   until  1.944933e-03
died                     died  1.948525e-03
40                         40  1.949727e-03
morning               morning  1.952335e-03
putting               putting  1.955304e-03
another               another  1.958015e-03
bit                       bit  1.966770e-03
body                     body  1.975086e-03
but                       but  1.985080e-03
sound                   sound  1.987822e-03
seem                     seem  1.994752e-03
weapons               weapons  1.995923e-03
collection         collection  1.996601e-03
having                 having  1.998635e-03
gas                       gas  2.004798e-03
immediately       immediately  2.006623e-03
alive                   alive  2.013868e-03
sounds                 sounds  2.019246e-03
sitcom                 sitcom  2.025105e-03
dennis                 dennis  2.025125e-03
appeared             appeared  2.026026e-03
jesus                   jesus  2.026890e-03
being                   being  2.028290e-03
tries                   tries  2.034954e-03
cell                     cell  2.035202e-03
quirky                 quirky  2.035987e-03
murphy                 murphy  2.036860e-03
promising           promising  2.040018e-03
for                       for  2.042178e-03
funniest             funniest  2.045510e-03
lack                     lack  2.046424e-03
blonde                 blonde  2.051889e-03
positive             positive  2.052741e-03
content               content  2.054267e-03
down                     down  2.058450e-03
hurt                     hurt  2.064498e-03
tears                   tears  2.074102e-03
high                     high  2.104230e-03
club                     club  2.109633e-03
calls                   calls  2.113243e-03
disappointment disappointment  2.117142e-03
attention           attention  2.118006e-03
saving                 saving  2.122248e-03
much                     much  2.128046e-03
behind                 behind  2.128681e-03
trip                     trip  2.137004e-03
worked                 worked  2.152857e-03
intelligence     intelligence  2.156812e-03
where                   where  2.159623e-03
deserves             deserves  2.161198e-03
one                       one  2.166780e-03
too                       too  2.177019e-03
case                     case  2.179370e-03
60                         60  2.181084e-03
jason                   jason  2.189692e-03
psycho                 psycho  2.190352e-03
gun                       gun  2.191056e-03
degree                 degree  2.192979e-03
sequel                 sequel  2.196535e-03
hill                     hill  2.197274e-03
rate                     rate  2.197582e-03
normal                 normal  2.202997e-03
faith                   faith  2.206031e-03
filmmakers         filmmakers  2.206684e-03
knowing               knowing  2.224866e-03
needs                   needs  2.236355e-03
after                   after  2.238188e-03
dies                     dies  2.246198e-03
dialog                 dialog  2.253778e-03
entertainment   entertainment  2.263121e-03
directors           directors  2.267047e-03
game                     game  2.267528e-03
couple                 couple  2.267623e-03
help                     help  2.269892e-03
face                     face  2.280904e-03
almost                 almost  2.281382e-03
turn                     turn  2.281799e-03
act                       act  2.282588e-03
special               special  2.285088e-03
cuts                     cuts  2.293744e-03
level                   level  2.294985e-03
besides               besides  2.296475e-03
able                     able  2.298865e-03
been                     been  2.301065e-03
he's                     he's  2.301539e-03
claim                   claim  2.301676e-03
jumps                   jumps  2.303677e-03
wear                     wear  2.307699e-03
paper                   paper  2.311817e-03
deliver               deliver  2.313054e-03
unfortunately   unfortunately  2.313571e-03
surprise             surprise  2.317807e-03
martial               martial  2.322255e-03
irritating         irritating  2.325645e-03
student               student  2.329115e-03
trouble               trouble  2.330111e-03
gets                     gets  2.332153e-03
edited                 edited  2.333246e-03
foot                     foot  2.339390e-03
picks                   picks  2.342613e-03
originality       originality  2.343327e-03
clean                   clean  2.344394e-03
film-making       film-making  2.346277e-03
sequels               sequels  2.347918e-03
knows                   knows  2.352159e-03
otherwise           otherwise  2.353183e-03
shots                   shots  2.357462e-03
line                     line  2.359909e-03
drop                     drop  2.362162e-03
frankly               frankly  2.366219e-03
message               message  2.367179e-03
hide                     hide  2.368482e-03
bits                     bits  2.368571e-03
attempt               attempt  2.370317e-03
lake                     lake  2.387943e-03
minds                   minds  2.395840e-03
conversation     conversation  2.396491e-03
camera                 camera  2.402793e-03
done                     done  2.403433e-03
bar                       bar  2.404954e-03
camp                     camp  2.419831e-03
since                   since  2.421574e-03
pop                       pop  2.426200e-03
e                           e  2.426785e-03
front                   front  2.427082e-03
empty                   empty  2.430301e-03
hopes                   hopes  2.432665e-03
desperate           desperate  2.436649e-03
group                   group  2.440588e-03
surely                 surely  2.445898e-03
dubbed                 dubbed  2.452746e-03
anna                     anna  2.454504e-03
lesson                 lesson  2.459877e-03
treated               treated  2.466564e-03
fallen                 fallen  2.467588e-03
win                       win  2.467836e-03
jennifer             jennifer  2.470129e-03
dad                       dad  2.472144e-03
cannot                 cannot  2.474381e-03
coming                 coming  2.476262e-03
direct                 direct  2.476309e-03
round                   round  2.479367e-03
talent                 talent  2.481075e-03
little                 little  2.481339e-03
reach                   reach  2.482968e-03
long                     long  2.493170e-03
statement           statement  2.497929e-03
reminds               reminds  2.501684e-03
matters               matters  2.503435e-03
opinion               opinion  2.515574e-03
spot                     spot  2.516469e-03
worth                   worth  2.521472e-03
critics               critics  2.522858e-03
reaction             reaction  2.526098e-03
such                     such  2.531584e-03
whether               whether  2.532126e-03
mainstream         mainstream  2.532249e-03
moved                   moved  2.535422e-03
drug                     drug  2.546353e-03
record                 record  2.547597e-03
involved             involved  2.552514e-03
intended             intended  2.553803e-03
heart                   heart  2.564027e-03
uk                         uk  2.564432e-03
here                     here  2.565401e-03
once                     once  2.567645e-03
literally           literally  2.570989e-03
writer                 writer  2.578126e-03
editing               editing  2.589994e-03
end                       end  2.591836e-03
than                     than  2.592900e-03
women                   women  2.593296e-03
forced                 forced  2.601937e-03
themselves         themselves  2.605439e-03
baby                     baby  2.611225e-03
tim                       tim  2.618555e-03
steal                   steal  2.620007e-03
amazingly           amazingly  2.622765e-03
blown                   blown  2.627329e-03
pet                       pet  2.638454e-03
our                       our  2.638493e-03
kevin                   kevin  2.639027e-03
bright                 bright  2.639424e-03
guilty                 guilty  2.640253e-03
air                       air  2.645582e-03
midnight             midnight  2.646488e-03
virtually           virtually  2.653048e-03
make-up               make-up  2.654167e-03
allowed               allowed  2.656765e-03
sadly                   sadly  2.657891e-03
nor                       nor  2.658146e-03
lots                     lots  2.661420e-03
simply                 simply  2.671433e-03
appreciate         appreciate  2.675455e-03
extreme               extreme  2.675535e-03
neither               neither  2.677919e-03
forth                   forth  2.679422e-03
use                       use  2.681277e-03
meaning               meaning  2.688683e-03
build                   build  2.693221e-03
gratuitous         gratuitous  2.701661e-03
clothes               clothes  2.727831e-03
commercial         commercial  2.729545e-03
used                     used  2.731678e-03
serious               serious  2.734081e-03
potential           potential  2.744604e-03
people's             people's  2.750823e-03
strange               strange  2.751610e-03
fault                   fault  2.751649e-03
dog                       dog  2.766452e-03
watchable           watchable  2.768038e-03
drinking             drinking  2.770803e-03
training             training  2.776719e-03
answers               answers  2.779483e-03
humor                   humor  2.786041e-03
course                 course  2.790864e-03
may                       may  2.794162e-03
treat                   treat  2.796979e-03
longer                 longer  2.798540e-03
move                     move  2.812911e-03
self                     self  2.817698e-03
hit                       hit  2.826429e-03
child                   child  2.832253e-03
impression         impression  2.839812e-03
food                     food  2.840039e-03
using                   using  2.845679e-03
caught                 caught  2.854851e-03
robot                   robot  2.861628e-03
madness               madness  2.866894e-03
woods                   woods  2.876370e-03
filmmaker           filmmaker  2.879874e-03
extent                 extent  2.885465e-03
us                         us  2.889431e-03
seems                   seems  2.892370e-03
remake                 remake  2.895333e-03
without               without  2.900423e-03
busy                     busy  2.904153e-03
cult                     cult  2.909686e-03
sleeping             sleeping  2.910302e-03
sci-fi                 sci-fi  2.912651e-03
industry             industry  2.918949e-03
aside                   aside  2.923759e-03
awkward               awkward  2.924412e-03
tiny                     tiny  2.926834e-03
earth                   earth  2.933242e-03
willing               willing  2.935785e-03
speaking             speaking  2.943288e-03
blind                   blind  2.954240e-03
makeup                 makeup  2.954453e-03
situations         situations  2.958890e-03
facial                 facial  2.965039e-03
offer                   offer  2.966139e-03
underground       underground  2.971314e-03
opportunity       opportunity  2.976740e-03
obvious               obvious  2.976880e-03
actors                 actors  2.983026e-03
bodies                 bodies  2.983117e-03
real                     real  2.991555e-03
spends                 spends  2.992388e-03
involves             involves  2.995127e-03
claims                 claims  2.999504e-03
national             national  3.002967e-03
designed             designed  3.005464e-03
teenage               teenage  3.008989e-03
beat                     beat  3.009020e-03
actual                 actual  3.009753e-03
skip                     skip  3.013015e-03
old                       old  3.016899e-03
challenge           challenge  3.017687e-03
survive               survive  3.018493e-03
near                     near  3.028257e-03
drive                   drive  3.029145e-03
cruel                   cruel  3.031700e-03
program               program  3.031982e-03
road                     road  3.033100e-03
boy                       boy  3.042587e-03
shocking             shocking  3.054150e-03
awards                 awards  3.057704e-03
into                     into  3.062405e-03
live                     live  3.069690e-03
van                       van  3.070437e-03
through               through  3.072962e-03
shop                     shop  3.077245e-03
ones                     ones  3.082508e-03
judge                   judge  3.082602e-03
ability               ability  3.088711e-03
lost                     lost  3.093665e-03
motion                 motion  3.104997e-03
bizarre               bizarre  3.106667e-03
carry                   carry  3.113647e-03
mask                     mask  3.115685e-03
imagination       imagination  3.117706e-03
names                   names  3.126207e-03
adults                 adults  3.126210e-03
cross                   cross  3.128706e-03
attempting         attempting  3.129045e-03
deal                     deal  3.134991e-03
luck                     luck  3.136426e-03
share                   share  3.137701e-03
viewing               viewing  3.152515e-03
v                           v  3.154650e-03
wave                     wave  3.157413e-03
mentioned           mentioned  3.157856e-03
deaths                 deaths  3.158138e-03
conclusion         conclusion  3.158691e-03
weak                     weak  3.165459e-03
woody                   woody  3.174118e-03
still                   still  3.174262e-03
stars                   stars  3.178242e-03
prior                   prior  3.183709e-03
written               written  3.185919e-03
compared             compared  3.191045e-03
left                     left  3.191070e-03
finally               finally  3.197548e-03
necessarily       necessarily  3.198918e-03
finding               finding  3.199834e-03
existence           existence  3.206603e-03
understood         understood  3.213498e-03
truly                   truly  3.214078e-03
times                   times  3.219187e-03
tough                   tough  3.226510e-03
across                 across  3.232289e-03
al                         al  3.234164e-03
la                         la  3.249165e-03
fly                       fly  3.253631e-03
unable                 unable  3.254053e-03
soul                     soul  3.255903e-03
basic                   basic  3.265595e-03
nick                     nick  3.267192e-03
band                     band  3.269166e-03
moon                     moon  3.280809e-03
hilarious           hilarious  3.280830e-03
thankfully         thankfully  3.282008e-03
forever               forever  3.284800e-03
u                           u  3.288359e-03
ahead                   ahead  3.293459e-03
festival             festival  3.295426e-03
saved                   saved  3.299658e-03
allow                   allow  3.300755e-03
roger                   roger  3.315516e-03
won                       won  3.325827e-03
ends                     ends  3.326230e-03
depressing         depressing  3.328297e-03
forest                 forest  3.338348e-03
bigger                 bigger  3.338673e-03
ground                 ground  3.347436e-03
telling               telling  3.348796e-03
originally         originally  3.359752e-03
meet                     meet  3.363335e-03
lights                 lights  3.371770e-03
description       description  3.374044e-03
more                     more  3.375739e-03
fashion               fashion  3.376139e-03
facts                   facts  3.376162e-03
movie's               movie's  3.376369e-03
suffering           suffering  3.376447e-03
bring                   bring  3.380693e-03
technically       technically  3.391094e-03
ending                 ending  3.394646e-03
memory                 memory  3.401313e-03
mere                     mere  3.401607e-03
purely                 purely  3.401800e-03
apart                   apart  3.402776e-03
scene                   scene  3.406352e-03
failure               failure  3.408538e-03
available           available  3.413312e-03
odd                       odd  3.413971e-03
hollywood           hollywood  3.420062e-03
disturbing         disturbing  3.420499e-03
creatures           creatures  3.421921e-03
christmas           christmas  3.424103e-03
passing               passing  3.425243e-03
choices               choices  3.438406e-03
evil                     evil  3.439664e-03
ball                     ball  3.443142e-03
lived                   lived  3.449652e-03
house                   house  3.450269e-03
same                     same  3.450388e-03
fighting             fighting  3.451976e-03
pity                     pity  3.452263e-03
cute                     cute  3.452951e-03
victims               victims  3.454245e-03
believed             believed  3.459152e-03
news                     news  3.461564e-03
first                   first  3.462393e-03
comedies             comedies  3.465478e-03
product               product  3.465805e-03
deadly                 deadly  3.466263e-03
experience         experience  3.474847e-03
lie                       lie  3.481415e-03
dan                       dan  3.487379e-03
offered               offered  3.490981e-03
pure                     pure  3.496836e-03
far                       far  3.504876e-03
mental                 mental  3.512729e-03
clearly               clearly  3.513441e-03
starting             starting  3.517504e-03
section               section  3.517796e-03
circumstances   circumstances  3.518971e-03
grow                     grow  3.524263e-03
date                     date  3.527309e-03
explains             explains  3.551500e-03
charge                 charge  3.558205e-03
clear                   clear  3.559391e-03
development       development  3.562530e-03
kate                     kate  3.562971e-03
fire                     fire  3.576695e-03
hardly                 hardly  3.586190e-03
interested         interested  3.587937e-03
massive               massive  3.590735e-03
slow                     slow  3.594681e-03
abandoned           abandoned  3.601150e-03
learning             learning  3.603203e-03
comes                   comes  3.609997e-03
length                 length  3.612975e-03
anderson             anderson  3.613944e-03
pregnant             pregnant  3.617160e-03
skills                 skills  3.618531e-03
needless             needless  3.619884e-03
good                     good  3.631141e-03
attack                 attack  3.637843e-03
issues                 issues  3.640694e-03
military             military  3.642509e-03
mood                     mood  3.644605e-03
haunted               haunted  3.645667e-03
awesome               awesome  3.648064e-03
with                     with  3.649651e-03
space                   space  3.653097e-03
sunday                 sunday  3.655536e-03
under                   under  3.662471e-03
woman                   woman  3.665345e-03
americans           americans  3.666341e-03
hold                     hold  3.667378e-03
who                       who  3.667944e-03
mountain             mountain  3.668046e-03
thoughts             thoughts  3.669834e-03
told                     told  3.674631e-03
though                 though  3.674883e-03
years                   years  3.675223e-03
priest                 priest  3.676410e-03
suffer                 suffer  3.676501e-03
accept                 accept  3.685750e-03
mission               mission  3.692905e-03
develop               develop  3.695232e-03
cowboy                 cowboy  3.698050e-03
breaking             breaking  3.699507e-03
she                       she  3.699859e-03
higher                 higher  3.699930e-03
love                     love  3.701459e-03
praise                 praise  3.703763e-03
double                 double  3.704320e-03
propaganda         propaganda  3.704373e-03
turning               turning  3.710619e-03
required             required  3.712215e-03
short                   short  3.722715e-03
wilson                 wilson  3.724104e-03
cinematic           cinematic  3.728401e-03
definitely         definitely  3.731138e-03
horrific             horrific  3.732483e-03
knowledge           knowledge  3.733227e-03
figure                 figure  3.738569e-03
together             together  3.738851e-03
sympathy             sympathy  3.742247e-03
year-old             year-old  3.748046e-03
r                           r  3.750359e-03
hat                       hat  3.751645e-03
vehicle               vehicle  3.753497e-03
covered               covered  3.755627e-03
boys                     boys  3.757434e-03
member                 member  3.757835e-03
lose                     lose  3.763152e-03
home                     home  3.767634e-03
clever                 clever  3.771409e-03
powers                 powers  3.778209e-03
choice                 choice  3.779611e-03
makes                   makes  3.780640e-03
standing             standing  3.789178e-03
less                     less  3.789210e-03
issue                   issue  3.801776e-03
steve                   steve  3.805402e-03
slapstick           slapstick  3.821859e-03
frame                   frame  3.823370e-03
female                 female  3.828347e-03
board                   board  3.828435e-03
certain               certain  3.829901e-03
deserved             deserved  3.830142e-03
player                 player  3.830234e-03
critical             critical  3.831826e-03
market                 market  3.832335e-03
twenty                 twenty  3.842099e-03
yet                       yet  3.845828e-03
leaving               leaving  3.847688e-03
emotion               emotion  3.847782e-03
alex                     alex  3.855030e-03
giant                   giant  3.858134e-03
robin                   robin  3.862573e-03
speaks                 speaks  3.862940e-03
heavy                   heavy  3.868108e-03
target                 target  3.869394e-03
documentary       documentary  3.870868e-03
dress                   dress  3.872792e-03
evidence             evidence  3.876300e-03
comparison         comparison  3.879347e-03
room                     room  3.879528e-03
multiple             multiple  3.881254e-03
outside               outside  3.881496e-03
lane                     lane  3.888784e-03
changing             changing  3.893186e-03
audience             audience  3.895237e-03
other                   other  3.895905e-03
served                 served  3.899035e-03
reporter             reporter  3.907244e-03
express               express  3.907671e-03
plenty                 plenty  3.912017e-03
taken                   taken  3.914873e-03
example               example  3.915697e-03
their                   their  3.916676e-03
mixed                   mixed  3.922208e-03
reality               reality  3.924060e-03
mostly                 mostly  3.928181e-03
games                   games  3.930518e-03
accent                 accent  3.935808e-03
dreams                 dreams  3.937537e-03
order                   order  3.938443e-03
difference         difference  3.939049e-03
pilot                   pilot  3.940124e-03
acted                   acted  3.941044e-03
crowd                   crowd  3.943497e-03
abuse                   abuse  3.956170e-03
structure           structure  3.958006e-03
america               america  3.959401e-03
account               account  3.960257e-03
decides               decides  3.966914e-03
blue                     blue  3.969638e-03
enemy                   enemy  3.973206e-03
arts                     arts  3.976312e-03
sometimes           sometimes  3.979704e-03
constant             constant  3.987992e-03
rare                     rare  3.991033e-03
him                       him  3.992674e-03
taking                 taking  3.999705e-03
urban                   urban  4.006287e-03
built                   built  4.008757e-03
window                 window  4.015886e-03
sheriff               sheriff  4.020241e-03
extremely           extremely  4.023848e-03
fit                       fit  4.024565e-03
given                   given  4.025922e-03
security             security  4.030578e-03
mexico                 mexico  4.039083e-03
darkness             darkness  4.045001e-03
base                     base  4.054148e-03
last                     last  4.059845e-03
named                   named  4.061917e-03
work                     work  4.067163e-03
achieve               achieve  4.072694e-03
track                   track  4.076078e-03
black                   black  4.076647e-03
sun                       sun  4.079977e-03
twists                 twists  4.082457e-03
eye                       eye  4.083860e-03
living                 living  4.089612e-03
exploitation     exploitation  4.091932e-03
many                     many  4.093048e-03
ludicrous           ludicrous  4.097865e-03
core                     core  4.099660e-03
productions       productions  4.104349e-03
interest             interest  4.108267e-03
street                 street  4.111552e-03
related               related  4.114415e-03
adam                     adam  4.116939e-03
current               current  4.118315e-03
regular               regular  4.119727e-03
costume               costume  4.122182e-03
parts                   parts  4.124747e-03
are                       are  4.125660e-03
actor                   actor  4.129088e-03
common                 common  4.131230e-03
stock                   stock  4.134043e-03
australian         australian  4.137092e-03
tight                   tight  4.139397e-03
several               several  4.141342e-03
biggest               biggest  4.142425e-03
moment                 moment  4.142600e-03
pieces                 pieces  4.147450e-03
perhaps               perhaps  4.151283e-03
note                     note  4.152311e-03
according           according  4.160733e-03
instance             instance  4.161572e-03
filming               filming  4.163051e-03
correct               correct  4.166579e-03
create                 create  4.174457e-03
angel                   angel  4.180836e-03
amount                 amount  4.186222e-03
science               science  4.188917e-03
ghost                   ghost  4.199027e-03
caused                 caused  4.205069e-03
rest                     rest  4.211473e-03
examples             examples  4.213749e-03
adult                   adult  4.216199e-03
recently             recently  4.220443e-03
via                       via  4.225209e-03
breaks                 breaks  4.226575e-03
change                 change  4.234593e-03
matrix                 matrix  4.237234e-03
feature               feature  4.242746e-03
top                       top  4.245803e-03
producer             producer  4.246266e-03
wall                     wall  4.252529e-03
along                   along  4.252946e-03
forgotten           forgotten  4.256765e-03
genius                 genius  4.258561e-03
friend                 friend  4.259744e-03
seemingly           seemingly  4.259948e-03
male                     male  4.260692e-03
favorite             favorite  4.261869e-03
others                 others  4.269001e-03
nancy                   nancy  4.274103e-03
hands                   hands  4.275173e-03
gem                       gem  4.275542e-03
incredibly         incredibly  4.281338e-03
director             director  4.285742e-03
sight                   sight  4.288985e-03
supernatural     supernatural  4.289290e-03
humour                 humour  4.290870e-03
held                     held  4.291585e-03
animals               animals  4.292807e-03
crew                     crew  4.296557e-03
release               release  4.315234e-03
truth                   truth  4.318564e-03
easily                 easily  4.320883e-03
intelligent       intelligent  4.323467e-03
miss                     miss  4.327566e-03
standards           standards  4.333146e-03
billy                   billy  4.341885e-03
full                     full  4.342117e-03
routine               routine  4.343269e-03
from                     from  4.349777e-03
pulls                   pulls  4.355242e-03
speed                   speed  4.355977e-03
lacking               lacking  4.356792e-03
jerry                   jerry  4.357744e-03
strongly             strongly  4.378753e-03
kiss                     kiss  4.378828e-03
desert                 desert  4.380580e-03
directly             directly  4.381775e-03
manages               manages  4.382498e-03
memories             memories  4.388542e-03
n                           n  4.390853e-03
sexual                 sexual  4.402304e-03
witch                   witch  4.404000e-03
connection         connection  4.405671e-03
sea                       sea  4.408605e-03
bollywood           bollywood  4.409218e-03
added                   added  4.411504e-03
appear                 appear  4.412413e-03
suicide               suicide  4.412560e-03
ancient               ancient  4.413269e-03
small                   small  4.418816e-03
itself                 itself  4.421218e-03
hired                   hired  4.427754e-03
punch                   punch  4.429116e-03
title                   title  4.431891e-03
dream                   dream  4.432470e-03
generally           generally  4.443548e-03
execution           execution  4.445813e-03
l                           l  4.446448e-03
began                   began  4.448244e-03
suspense             suspense  4.451353e-03
does                     does  4.453401e-03
hand                     hand  4.468589e-03
properly             properly  4.473293e-03
soldiers             soldiers  4.475220e-03
buddy                   buddy  4.479062e-03
qualities           qualities  4.480857e-03
standard             standard  4.481717e-03
delivered           delivered  4.492119e-03
state                   state  4.493760e-03
scenes                 scenes  4.495348e-03
dying                   dying  4.496283e-03
planet                 planet  4.498593e-03
race                     race  4.500288e-03
soundtrack         soundtrack  4.503174e-03
local                   local  4.513502e-03
victim                 victim  4.515997e-03
narration           narration  4.518080e-03
larry                   larry  4.522342e-03
jon                       jon  4.527621e-03
soft                     soft  4.529896e-03
stephen               stephen  4.534272e-03
expression         expression  4.534672e-03
shows                   shows  4.536160e-03
draw                     draw  4.541925e-03
entertaining     entertaining  4.561207e-03
beginning           beginning  4.562830e-03
apparent             apparent  4.572430e-03
creepy                 creepy  4.574040e-03
intentions         intentions  4.577922e-03
enter                   enter  4.585246e-03
six                       six  4.589901e-03
driver                 driver  4.595302e-03
quality               quality  4.596634e-03
ride                     ride  4.597217e-03
faces                   faces  4.600996e-03
slightly             slightly  4.601537e-03
price                   price  4.608835e-03
attacks               attacks  4.609388e-03
experiences       experiences  4.611211e-03
false                   false  4.612857e-03
public                 public  4.616529e-03
herself               herself  4.626274e-03
thanks                 thanks  4.633045e-03
evening               evening  4.634718e-03
runs                     runs  4.635243e-03
middle                 middle  4.637716e-03
remembered         remembered  4.641009e-03
jobs                     jobs  4.641344e-03
international   international  4.644512e-03
place                   place  4.646596e-03
committed           committed  4.647568e-03
film                     film  4.648330e-03
unknown               unknown  4.657567e-03
slowly                 slowly  4.660389e-03
he                         he  4.661880e-03
display               display  4.663319e-03
discover             discover  4.666721e-03
red                       red  4.666848e-03
satire                 satire  4.669486e-03
nearly                 nearly  4.672581e-03
revealed             revealed  4.674091e-03
caring                 caring  4.677167e-03
harsh                   harsh  4.681293e-03
actresses           actresses  4.681399e-03
stolen                 stolen  4.692235e-03
occasionally     occasionally  4.692833e-03
thin                     thin  4.695157e-03
humans                 humans  4.695272e-03
rather                 rather  4.696906e-03
part                     part  4.700758e-03
brave                   brave  4.703582e-03
television         television  4.706059e-03
fans                     fans  4.707000e-03
singer                 singer  4.711492e-03
interesting       interesting  4.726825e-03
involving           involving  4.727494e-03
arms                     arms  4.728586e-03
fight                   fight  4.729160e-03
seek                     seek  4.732650e-03
married               married  4.737033e-03
effect                 effect  4.740217e-03
heaven                 heaven  4.741742e-03
religion             religion  4.751085e-03
becoming             becoming  4.757181e-03
feels                   feels  4.763091e-03
decade                 decade  4.763480e-03
mid                       mid  4.764066e-03
water                   water  4.773291e-03
problems             problems  4.773563e-03
doctor                 doctor  4.775625e-03
an                         an  4.779781e-03
due                       due  4.782702e-03
falls                   falls  4.790448e-03
class                   class  4.791559e-03
culture               culture  4.794208e-03
mexican               mexican  4.794694e-03
concerned           concerned  4.794895e-03
following           following  4.795913e-03
sisters               sisters  4.801693e-03
creating             creating  4.809850e-03
points                 points  4.819409e-03
sister                 sister  4.822398e-03
certainly           certainly  4.823483e-03
struggle             struggle  4.823919e-03
references         references  4.824616e-03
death                   death  4.825519e-03
summer                 summer  4.828105e-03
released             released  4.834958e-03
inside                 inside  4.836602e-03
regard                 regard  4.843210e-03
responsible       responsible  4.846449e-03
flesh                   flesh  4.852811e-03
causes                 causes  4.854649e-03
interviews         interviews  4.856637e-03
children             children  4.865062e-03
life                     life  4.878196e-03
interview           interview  4.880016e-03
second                 second  4.885744e-03
canadian             canadian  4.890108e-03
plans                   plans  4.894286e-03
horse                   horse  4.896175e-03
carried               carried  4.896710e-03
join                     join  4.897742e-03
delivery             delivery  4.901267e-03
surreal               surreal  4.909971e-03
religious           religious  4.914683e-03
step                     step  4.919873e-03
material             material  4.923707e-03
device                 device  4.925864e-03
table                   table  4.926434e-03
of                         of  4.932953e-03
suspect               suspect  4.933284e-03
destroyed           destroyed  4.934830e-03
artists               artists  4.935420e-03
character           character  4.940188e-03
enjoyable           enjoyable  4.942473e-03
values                 values  4.954447e-03
hits                     hits  4.956607e-03
ironic                 ironic  4.966133e-03
main                     main  4.970370e-03
today                   today  4.974386e-03
while                   while  4.981239e-03
episode               episode  4.985551e-03
stone                   stone  4.987586e-03
in                         in  4.990198e-03
sleazy                 sleazy  4.993804e-03
screen                 screen  4.995112e-03
);                         );  4.997611e-03
nice                     nice  4.998167e-03
flying                 flying  5.011248e-03
art                       art  5.011331e-03
depth                   depth  5.017144e-03
eventually         eventually  5.017554e-03
followed             followed  5.017669e-03
opening               opening  5.020492e-03
surprises           surprises  5.021725e-03
formula               formula  5.021783e-03
heavily               heavily  5.022122e-03
technology         technology  5.027004e-03
brian                   brian  5.027300e-03
heroes                 heroes  5.028635e-03
produced             produced  5.030078e-03
prison                 prison  5.032058e-03
above                   above  5.036372e-03
plus                     plus  5.038010e-03
production         production  5.045854e-03
murdered             murdered  5.049779e-03
vietnam               vietnam  5.054828e-03
job                       job  5.059032e-03
par                       par  5.059488e-03
1980                     1980  5.065952e-03
major                   major  5.068987e-03
realism               realism  5.072899e-03
parker                 parker  5.075177e-03
talented             talented  5.075255e-03
10/10                   10/10  5.079563e-03
therefore           therefore  5.079660e-03
characters         characters  5.081758e-03
